contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spot_price,expiration_date,days_to_expiration,T,moneyness,bid_ask_spread,spread_pct,computed_iv,iv_diff,moneyness_bin,tte_bin
SPY251007C00658000,2025-10-03 16:33:01+00:00,658.0,14.93,11.47,11.59,2.5500002,20.59774,71.0,215,0.1099942517089843,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0170365075572283,0.1199999999999992,0.0080375083724045,0.33104328885022316,0.22104903714123886,"(0.95, 1.05]","(0, 30]"
SPY251007C00659000,2025-10-03 19:19:09+00:00,659.0,11.29,10.51,10.64,0.010000229,0.08865451,112.0,362,0.1062101098632812,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0154932048143497,0.1300000000000007,0.0115146147032773,0.17284460202905014,0.06663449216576894,"(0.95, 1.05]","(0, 30]"
SPY251007C00660000,2025-10-03 19:48:23+00:00,660.0,10.22,9.57,9.7,-0.47999954,-4.485977,81.0,709,0.1024259680175781,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0139545787464488,0.129999999999999,0.0127201565557728,0.15700780867098274,0.05458184065340464,"(0.95, 1.05]","(0, 30]"
SPY251007C00661000,2025-10-03 19:59:04+00:00,661.0,8.8,8.66,8.77,-0.7399998,-7.756811,167.0,256,0.098641826171875,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0124206081280729,0.1099999999999994,0.0124999999999999,0.11464802806964455,0.01600620189776955,"(0.95, 1.05]","(0, 30]"
SPY251007C00662000,2025-10-03 19:58:29+00:00,662.0,7.97,7.73,7.85,-0.61000013,-7.109559,63.0,474,0.0946135461425781,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0108912718620184,0.1199999999999992,0.015056461731493,0.11775313047589728,0.023139584333319183,"(0.95, 1.05]","(0, 30]"
SPY251007C00663000,2025-10-03 18:58:23+00:00,663.0,7.81,6.85,6.95,0.07999992,1.0349278,101.0,402,0.0907073352050781,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0093665489783654,0.1000000000000005,0.0128040973111396,0.15578027116632667,0.06507293596124858,"(0.95, 1.05]","(0, 30]"
SPY251007C00664000,2025-10-03 20:05:52+00:00,664.0,5.99,5.99,6.07,-0.8800001,-12.809319,196.0,553,0.0868011242675781,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0078464186335183,0.08,0.013355592654424,0.09704844521457062,0.010247320946992516,"(0.95, 1.05]","(0, 30]"
SPY251007C00665000,2025-10-03 20:10:12+00:00,665.0,5.14,5.14,5.22,-1.0999999,-17.628204,943.0,1234,0.0830780169677734,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0063308601092575,0.08,0.0155642023346303,0.09414658450019951,0.011068567532426118,"(0.95, 1.05]","(0, 30]"
SPY251007C00666000,2025-10-03 19:48:34+00:00,666.0,4.48,4.35,4.41,-0.9899998,-18.098717,513.0,501,0.0795990478515625,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0048198528117962,0.0600000000000005,0.0133928571428572,0.09872451425307821,0.019125466401515717,"(0.95, 1.05]","(0, 30]"
SPY251007C00667000,2025-10-03 20:14:57+00:00,667.0,3.59,3.58,3.64,-0.99,-21.61572,1013.0,1207,0.0760590441894531,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.003313376270849,0.06,0.0167130919220055,0.08947388628917415,0.013414842099721047,"(0.95, 1.05]","(0, 30]"
