contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spot_price,expiration_date,days_to_expiration,T,moneyness
SPY251003C00666000,2025-10-03 20:11:35+00:00,666.0,2.76,2.73,4.19,-1.3399999,-32.682922,7409.0,6224,0.1596763720703125,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0048198528117962
SPY251003C00667000,2025-10-03 20:14:28+00:00,667.0,1.82,1.86,1.99,-1.4,-43.47826,10650.0,10524,1.0000000000000003e-05,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.003313376270849
SPY251003C00668000,2025-10-03 20:14:28+00:00,668.0,0.82,0.85,0.98,-1.6200001,-66.39345,48494.0,15465,1.0000000000000003e-05,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.001811410138707
SPY251003C00669000,2025-10-03 20:14:58+00:00,669.0,0.08,0.07,0.09,-1.68,-95.454544,163526.0,22744,1.0000000000000003e-05,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0003139341893217
SPY251003C00670000,2025-10-03 20:14:58+00:00,670.0,0.01,0.01,0.02,-1.1800001,-99.15967,407487.0,56517,0.0161231201171875,False,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,0.9988209283173974
SPY251003C00671000,2025-10-03 20:14:58+00:00,671.0,0.01,0.01,0.02,-0.75,-98.68421,593809.0,17052,0.030283134765625,False,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,0.9973323725374906
SPY251003C00672000,2025-10-03 20:14:55+00:00,672.0,0.01,0.0,0.01,-0.43,-97.72727,656142.0,48297,0.039072109375,False,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,0.9958482469831195
SPY251003C00673000,2025-10-03 20:10:47+00:00,673.0,0.01,0.0,0.01,-0.22999999,-95.83333,473392.0,20407,0.0507907421875,False,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,0.9943685319058785
SPY251003C00674000,2025-10-03 20:14:18+00:00,674.0,0.01,0.0,0.01,-0.11,-91.66667,198301.0,13814,0.060556269531250005,False,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,0.9928932076745641
SPY251003C00675000,2025-10-03 20:13:16+00:00,675.0,0.01,0.0,0.01,-0.04,-80.00001,112670.0,15801,0.07227490234375,False,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,0.9914222547743056
